"gene","cluster","species","percent_expressed","n_high_expression_celltype","n_gene_per_cluster"
"CG32532","Tk_2","Dsec",0.505,14,63
"CG32532","Tk_2","Dsim",0.569,14,63
"Ets65A","Tk_2","Dmel",0.465,13,63
"Ets65A","Tk_2","Dsec",0.556,13,63
"Ets65A","Tk_2","Dsim",0.466,13,63
"Optix","Tk_2","Dmel",0.912,10,63
"Optix","Tk_2","Dsec",0.778,10,63
"Optix","Tk_2","Dsim",0.933,10,63
"Sox102F","Tk_2","Dmel",0.737,7,63
"Sox102F","Tk_2","Dsec",0.634,7,63
"Sox102F","Tk_2","Dsim",0.706,7,63
"aop","Tk_2","Dmel",0.579,13,63
"aop","Tk_2","Dsec",0.343,13,63
"aop","Tk_2","Dsim",0.466,13,63
"da","Tk_2","Dmel",0.325,12,63
"da","Tk_2","Dsec",0.337,12,63
"da","Tk_2","Dsim",0.397,12,63
"CG43689","Tk_3","Dmel",0.855,4,66
"CG43689","Tk_3","Dsec",0.957,4,66
"CG43689","Tk_3","Dsim",0.897,4,66
"Lmx1a","Tk_3","Dmel",0.418,3,66
"Lmx1a","Tk_3","Dsec",0.63,3,66
"Lmx1a","Tk_3","Dsim",0.444,3,66
"ara","Tk_3","Dmel",0.455,7,66
"ara","Tk_3","Dsec",0.413,7,66
"ara","Tk_3","Dsim",0.444,7,66
"caup","Tk_3","Dmel",0.691,10,66
"caup","Tk_3","Dsec",0.674,10,66
"caup","Tk_3","Dsim",0.519,10,66
"fkh","Tk_3","Dmel",0.491,16,66
"fkh","Tk_3","Dsec",0.622,16,66
"fkh","Tk_3","Dsim",0.593,16,66
"hbn","Tk_3","Dmel",0.582,4,66
"hbn","Tk_3","Dsec",0.522,4,66
"hbn","Tk_3","Dsim",0.483,4,66
"scro","Tk_3","Dmel",0.764,5,66
"scro","Tk_3","Dsec",0.761,5,66
"scro","Tk_3","Dsim",0.759,5,66
"zfh1","Tk_3","Dmel",0.382,3,66
"zfh1","Tk_3","Dsec",0.348,3,66
"zfh1","Tk_3","Dsim",0.481,3,66
"CG32532","Tk_Mip_RYa","Dmel",0.583,14,58
"CG32532","Tk_Mip_RYa","Dsec",0.611,14,58
"CG32532","Tk_Mip_RYa","Dsim",0.51,14,58
"Hr3","Tk_Mip_RYa","Dmel",0.312,5,58
"Hr3","Tk_Mip_RYa","Dsec",0.537,5,58
"Hr3","Tk_Mip_RYa","Dsim",0.5,5,58
"Myc","Tk_Mip_RYa","Dmel",0.333,11,58
"Myc","Tk_Mip_RYa","Dsec",0.537,11,58
"Myc","Tk_Mip_RYa","Dsim",0.577,11,58
"bi","Tk_Mip_RYa","Dmel",0.896,18,58
"bi","Tk_Mip_RYa","Dsec",0.944,18,58
"bi","Tk_Mip_RYa","Dsim",0.959,18,58
"bsh","Tk_Mip_RYa","Dmel",0.667,3,58
"bsh","Tk_Mip_RYa","Dsec",0.519,3,58
"bsh","Tk_Mip_RYa","Dsim",0.442,3,58
"dac","Tk_Mip_RYa","Dmel",0.625,19,58
"dac","Tk_Mip_RYa","Dsec",0.385,19,58
"dac","Tk_Mip_RYa","Dsim",0.558,19,58
"mld","Tk_Mip_RYa","Dmel",0.5,6,58
"mld","Tk_Mip_RYa","Dsec",0.327,6,58
"mld","Tk_Mip_RYa","Dsim",0.408,6,58
"tup","Tk_Mip_RYa","Dmel",0.75,8,58
"tup","Tk_Mip_RYa","Dsec",0.611,8,58
"tup","Tk_Mip_RYa","Dsim",0.551,8,58
"Stat92E","Tk_sNPF","Dmel",0.365,11,29
"Stat92E","Tk_sNPF","Dsec",0.541,11,29
"Stat92E","Tk_sNPF","Dsim",0.412,11,29
"fkh","Tk_sNPF","Dmel",0.462,16,29
"fkh","Tk_sNPF","Dsec",0.467,16,29
"fkh","Tk_sNPF","Dsim",0.733,16,29
"rn","Tk_sNPF","Dmel",0.442,17,29
"rn","Tk_sNPF","Dsec",0.5,17,29
"rn","Tk_sNPF","Dsim",0.471,17,29
"zld","Tk_sNPF","Dmel",0.75,19,29
"zld","Tk_sNPF","Dsec",0.567,19,29
"zld","Tk_sNPF","Dsim",0.765,19,29
"Atf6","fru_10","Dmel",0.553,9,82
"Atf6","fru_10","Dsec",0.5,9,82
"Atf6","fru_10","Dsim",0.45,9,82
"CG32532","fru_10","Dmel",0.34,14,82
"CG32532","fru_10","Dsec",0.483,14,82
"CG32532","fru_10","Dsim",0.475,14,82
"CrebA","fru_10","Dmel",0.681,5,82
"CrebA","fru_10","Dsec",0.843,5,82
"CrebA","fru_10","Dsim",0.694,5,82
"HLH4C","fru_10","Dmel",0.851,1,82
"HLH4C","fru_10","Dsec",0.833,1,82
"HLH4C","fru_10","Dsim",0.85,1,82
"Hr51","fru_10","Dmel",0.468,1,82
"Hr51","fru_10","Dsec",0.353,1,82
"Hr51","fru_10","Dsim",0.525,1,82
"cnc","fru_10","Dmel",0.319,16,82
"cnc","fru_10","Dsec",0.627,16,82
"cnc","fru_10","Dsim",0.444,16,82
"salm","fru_10","Dmel",0.532,12,82
"salm","fru_10","Dsec",0.733,12,82
"salm","fru_10","Dsim",0.694,12,82
"salr","fru_10","Dmel",0.574,15,82
"salr","fru_10","Dsec",0.7,15,82
"salr","fru_10","Dsim",0.575,15,82
"zfh1","fru_10","Dmel",0.383,3,82
"zfh1","fru_10","Dsec",0.529,3,82
"zfh1","fru_10","Dsim",0.5,3,82
"Hr39","fru_11","Dmel",0.348,1,58
"Hr39","fru_11","Dsec",0.417,1,58
"Hr39","fru_11","Dsim",0.381,1,58
"Myc","fru_11","Dmel",0.304,11,58
"Myc","fru_11","Dsec",0.5,11,58
"Myc","fru_11","Dsim",0.5,11,58
"Stat92E","fru_11","Dmel",0.326,11,58
"Stat92E","fru_11","Dsec",0.472,11,58
"Stat92E","fru_11","Dsim",0.5,11,58
"cnc","fru_11","Dmel",0.37,16,58
"cnc","fru_11","Dsec",0.343,16,58
"cnc","fru_11","Dsim",0.357,16,58
"rn","fru_11","Dmel",0.478,17,58
"rn","fru_11","Dsec",0.457,17,58
"rn","fru_11","Dsim",0.571,17,58
"sr","fru_11","Dmel",0.5,14,58
"sr","fru_11","Dsec",0.457,14,58
"sr","fru_11","Dsim",0.548,14,58
"Dif","fru_12","Dmel",0.485,3,61
"Dif","fru_12","Dsec",0.457,3,61
"Dif","fru_12","Dsim",0.343,3,61
"Ets21C","fru_12","Dmel",0.333,1,61
"Ets21C","fru_12","Dsec",0.314,1,61
"Ets21C","fru_12","Dsim",0.343,1,61
"Myc","fru_12","Dmel",0.303,11,61
"Myc","fru_12","Dsec",0.429,11,61
"Myc","fru_12","Dsim",0.314,11,61
"Stat92E","fru_12","Dmel",0.333,11,61
"Stat92E","fru_12","Dsec",0.457,11,61
"Stat92E","fru_12","Dsim",0.314,11,61
"cnc","fru_12","Dmel",0.636,16,61
"cnc","fru_12","Dsec",0.543,16,61
"cnc","fru_12","Dsim",0.481,16,61
"foxo","fru_12","Dmel",0.606,7,61
"foxo","fru_12","Dsec",0.8,7,61
"foxo","fru_12","Dsim",0.829,7,61
"opa","fru_12","Dmel",0.455,1,61
"opa","fru_12","Dsec",0.686,1,61
"opa","fru_12","Dsim",0.6,1,61
"otp","fru_12","Dmel",0.515,1,61
"otp","fru_12","Dsec",0.429,1,61
"otp","fru_12","Dsim",0.407,1,61
"salm","fru_12","Dmel",0.727,12,61
"salm","fru_12","Dsec",0.6,12,61
"salm","fru_12","Dsim",0.63,12,61
"salr","fru_12","Dmel",0.727,15,61
"salr","fru_12","Dsec",0.743,15,61
"salr","fru_12","Dsim",0.741,15,61
"vvl","fru_12","Dmel",0.545,20,61
"vvl","fru_12","Dsec",0.371,20,61
"vvl","fru_12","Dsim",0.407,20,61
"CrebA","fru_13","Dmel",0.893,5,72
"CrebA","fru_13","Dsec",0.75,5,72
"CrebA","fru_13","Dsim",0.667,5,72
"Sox102F","fru_13","Dmel",0.929,7,72
"Sox102F","fru_13","Dsec",0.875,7,72
"Sox102F","fru_13","Dsim",0.905,7,72
"Sp1","fru_13","Dmel",1,5,72
"Sp1","fru_13","Dsec",1,5,72
"Sp1","fru_13","Dsim",1,5,72
"cnc","fru_13","Dmel",0.357,16,72
"cnc","fru_13","Dsec",0.625,16,72
"cnc","fru_13","Dsim",0.389,16,72
"dac","fru_13","Dmel",0.857,19,72
"dac","fru_13","Dsec",0.875,19,72
"dac","fru_13","Dsim",0.889,19,72
"foxo","fru_13","Dmel",0.536,7,72
"foxo","fru_13","Dsec",0.312,7,72
"foxo","fru_13","Dsim",0.476,7,72
"sr","fru_13","Dmel",0.393,14,72
"sr","fru_13","Dsec",0.375,14,72
"sr","fru_13","Dsim",0.333,14,72
"CrebA","fru_14","Dmel",0.706,5,60
"CrebA","fru_14","Dsec",0.81,5,60
"CrebA","fru_14","Dsim",0.7,5,60
"Dif","fru_14","Dmel",0.471,3,60
"Dif","fru_14","Dsec",0.421,3,60
"Dif","fru_14","Dsim",0.6,3,60
"Myc","fru_14","Dmel",0.412,11,60
"Myc","fru_14","Dsec",0.571,11,60
"Myc","fru_14","Dsim",0.5,11,60
"Optix","fru_14","Dmel",0.824,10,60
"Optix","fru_14","Dsec",0.684,10,60
"Optix","fru_14","Dsim",0.9,10,60
"dac","fru_14","Dmel",0.706,19,60
"dac","fru_14","Dsec",0.762,19,60
"dac","fru_14","Dsim",0.9,19,60
"foxo","fru_14","Dmel",0.882,7,60
"foxo","fru_14","Dsec",0.789,7,60
"foxo","fru_14","Dsim",0.9,7,60
"shn","fru_14","Dmel",0.706,1,60
"shn","fru_14","Dsec",0.421,1,60
"shn","fru_14","Dsim",0.4,1,60
"vvl","fru_14","Dmel",0.824,20,60
"vvl","fru_14","Dsec",0.947,20,60
"vvl","fru_14","Dsim",0.9,20,60
"Awh","fru_15","Dmel",0.562,2,103
"Awh","fru_15","Dsec",0.474,2,103
"Awh","fru_15","Dsim",0.538,2,103
"CrebA","fru_15","Dmel",0.625,5,103
"CrebA","fru_15","Dsec",0.526,5,103
"CrebA","fru_15","Dsim",0.357,5,103
"Dll","fru_15","Dmel",0.625,1,103
"Dll","fru_15","Dsec",0.368,1,103
"Dll","fru_15","Dsim",0.643,1,103
"Sox102F","fru_15","Dmel",0.688,7,103
"Sox102F","fru_15","Dsec",0.684,7,103
"Sox102F","fru_15","Dsim",0.643,7,103
"Sp1","fru_15","Dmel",1,5,103
"Sp1","fru_15","Dsec",1,5,103
"Sp1","fru_15","Dsim",1,5,103
"cnc","fru_15","Dmel",0.375,16,103
"cnc","fru_15","Dsec",0.579,16,103
"cnc","fru_15","Dsim",0.462,16,103
"dimm","fru_15","Dmel",0.438,1,103
"dimm","fru_15","Dsec",0.316,1,103
"dimm","fru_15","Dsim",0.429,1,103
"zfh1","fru_15","Dmel",0.375,3,103
"zfh1","fru_15","Dsec",0.368,3,103
"zfh1","fru_15","Dsim",0.308,3,103
"cnc","fru_2","Dmel",0.302,16,30
"cnc","fru_2","Dsec",0.496,16,30
"cnc","fru_2","Dsim",0.377,16,30
"rn","fru_2","Dmel",0.352,17,30
"rn","fru_2","Dsec",0.386,17,30
"rn","fru_2","Dsim",0.403,17,30
"vvl","fru_2","Dmel",0.33,20,30
"vvl","fru_2","Dsec",0.361,20,30
"vvl","fru_2","Dsim",0.383,20,30
"Atf6","fru_4","Dmel",0.441,9,36
"Atf6","fru_4","Dsec",0.329,9,36
"Atf6","fru_4","Dsim",0.306,9,36
"CG12769","fru_4","Dmel",0.31,4,36
"CG12769","fru_4","Dsec",0.318,4,36
"CG12769","fru_4","Dsim",0.373,4,36
"fkh","fru_4","Dmel",0.633,16,36
"fkh","fru_4","Dsec",0.659,16,36
"fkh","fru_4","Dsim",0.615,16,36
"vvl","fru_4","Dmel",0.367,20,36
"vvl","fru_4","Dsec",0.402,20,36
"vvl","fru_4","Dsim",0.366,20,36
"CG14431","fru_5","Dmel",0.879,9,60
"CG14431","fru_5","Dsec",0.788,9,60
"CG14431","fru_5","Dsim",0.86,9,60
"H15","fru_5","Dmel",0.347,1,60
"H15","fru_5","Dsec",0.355,1,60
"H15","fru_5","Dsim",0.544,1,60
"Lim3","fru_5","Dmel",0.758,6,60
"Lim3","fru_5","Dsec",0.759,6,60
"Lim3","fru_5","Dsim",0.754,6,60
"acj6","fru_5","Dmel",1,7,60
"acj6","fru_5","Dsec",0.944,7,60
"acj6","fru_5","Dsim",0.955,7,60
"kn","fru_5","Dmel",0.758,3,60
"kn","fru_5","Dsec",0.581,3,60
"kn","fru_5","Dsim",0.696,3,60
"mid","fru_5","Dmel",0.556,1,60
"mid","fru_5","Dsec",0.331,1,60
"mid","fru_5","Dsim",0.366,1,60
"tup","fru_5","Dmel",0.371,8,60
"tup","fru_5","Dsec",0.467,8,60
"tup","fru_5","Dsim",0.384,8,60
"zld","fru_5","Dmel",0.71,19,60
"zld","fru_5","Dsec",0.726,19,60
"zld","fru_5","Dsim",0.772,19,60
"Fer1","fru_6","Dmel",0.411,5,28
"Fer1","fru_6","Dsec",0.384,5,28
"Fer1","fru_6","Dsim",0.452,5,28
"Myc","fru_6","Dmel",0.305,11,28
"Myc","fru_6","Dsec",0.424,11,28
"Myc","fru_6","Dsim",0.437,11,28
"Ptx1","fru_6","Dmel",0.358,2,28
"Ptx1","fru_6","Dsec",0.424,2,28
"Ptx1","fru_6","Dsim",0.328,2,28
"Stat92E","fru_6","Dmel",0.316,11,28
"Stat92E","fru_6","Dsec",0.455,11,28
"Stat92E","fru_6","Dsim",0.333,11,28
"fkh","fru_6","Dmel",0.516,16,28
"fkh","fru_6","Dsec",0.505,16,28
"fkh","fru_6","Dsim",0.443,16,28
"rn","fru_6","Dmel",0.453,17,28
"rn","fru_6","Dsec",0.357,17,28
"rn","fru_6","Dsim",0.393,17,28
"tup","fru_6","Dmel",0.421,8,28
"tup","fru_6","Dsec",0.495,8,28
"tup","fru_6","Dsim",0.344,8,28
"vvl","fru_6","Dmel",0.6,20,28
"vvl","fru_6","Dsec",0.768,20,28
"vvl","fru_6","Dsim",0.713,20,28
"bi","fru_7","Dmel",0.54,18,29
"bi","fru_7","Dsec",0.471,18,29
"bi","fru_7","Dsim",0.655,18,29
"sr","fru_7","Dmel",0.873,14,29
"sr","fru_7","Dsec",0.891,14,29
"sr","fru_7","Dsim",0.727,14,29
"vvl","fru_7","Dmel",0.381,20,29
"vvl","fru_7","Dsec",0.411,20,29
"vvl","fru_7","Dsim",0.509,20,29
"Myc","fru_8","Dmel",0.308,11,28
"Myc","fru_8","Dsec",0.593,11,28
"Myc","fru_8","Dsim",0.622,11,28
"cnc","fru_8","Dmel",0.346,16,28
"cnc","fru_8","Dsec",0.395,16,28
"cnc","fru_8","Dsim",0.439,16,28
"dve","fru_8","Dmel",0.744,3,28
"dve","fru_8","Dsec",0.898,3,28
"dve","fru_8","Dsim",0.912,3,28
"fkh","fru_8","Dmel",0.359,16,28
"fkh","fru_8","Dsec",0.576,16,28
"fkh","fru_8","Dsim",0.561,16,28
"sr","fru_8","Dmel",0.538,14,28
"sr","fru_8","Dsec",0.322,14,28
"sr","fru_8","Dsim",0.667,14,28
"zld","fru_8","Dmel",0.462,19,28
"zld","fru_8","Dsec",0.492,19,28
"zld","fru_8","Dsim",0.561,19,28
"Ets65A","fru_9","Dmel",0.526,13,57
"Ets65A","fru_9","Dsec",0.5,13,57
"Ets65A","fru_9","Dsim",0.472,13,57
"Optix","fru_9","Dmel",0.842,10,57
"Optix","fru_9","Dsec",0.76,10,57
"Optix","fru_9","Dsim",0.861,10,57
"Rx","fru_9","Dmel",0.395,4,57
"Rx","fru_9","Dsec",0.36,4,57
"Rx","fru_9","Dsim",0.389,4,57
"aop","fru_9","Dmel",0.895,13,57
"aop","fru_9","Dsec",0.646,13,57
"aop","fru_9","Dsim",0.75,13,57
"pnt","fru_9","Dmel",0.842,5,57
"pnt","fru_9","Dsec",0.688,5,57
"pnt","fru_9","Dsim",0.778,5,57
"rn","fru_9","Dmel",0.579,17,57
"rn","fru_9","Dsec",0.5,17,57
"rn","fru_9","Dsim",0.389,17,57
"bi","sNPF","Dmel",0.364,18,11
"bi","sNPF","Dsec",0.3,18,11
"bi","sNPF","Dsim",0.344,18,11
"sr","sNPF","Dmel",0.361,14,11
"sr","sNPF","Dsec",0.318,14,11
"sr","sNPF","Dsim",0.321,14,11
"CG32532","sNPF_CCHa2_AstC","Dmel",0.457,14,28
"CG32532","sNPF_CCHa2_AstC","Dsec",0.416,14,28
"CG32532","sNPF_CCHa2_AstC","Dsim",0.302,14,28
"TfAP-2","sNPF_CCHa2_AstC","Dmel",0.552,2,28
"TfAP-2","sNPF_CCHa2_AstC","Dsec",0.398,2,28
"TfAP-2","sNPF_CCHa2_AstC","Dsim",0.425,2,28
"dac","sNPF_CCHa2_AstC","Dmel",0.552,19,28
"dac","sNPF_CCHa2_AstC","Dsec",0.566,19,28
"dac","sNPF_CCHa2_AstC","Dsim",0.635,19,28
"CG14431","sNPF_Dh44","Dmel",0.565,9,42
"CG14431","sNPF_Dh44","Dsec",0.588,9,42
"CG14431","sNPF_Dh44","Dsim",0.538,9,42
"Met","sNPF_Dh44","Dmel",0.304,1,42
"Met","sNPF_Dh44","Dsec",0.471,1,42
"Met","sNPF_Dh44","Dsim",0.385,1,42
"Smox","sNPF_Dh44","Dmel",0.435,5,42
"Smox","sNPF_Dh44","Dsec",0.353,5,42
"Smox","sNPF_Dh44","Dsim",0.346,5,42
"Stat92E","sNPF_Dh44","Dmel",0.304,11,42
"Stat92E","sNPF_Dh44","Dsec",0.706,11,42
"Stat92E","sNPF_Dh44","Dsim",0.538,11,42
"da","sNPF_Dh44","Dmel",0.391,12,42
"da","sNPF_Dh44","Dsec",0.412,12,42
"da","sNPF_Dh44","Dsim",0.346,12,42
"vvl","sNPF_Dh44","Dmel",0.348,20,42
"vvl","sNPF_Dh44","Dsec",0.353,20,42
"vvl","sNPF_Dh44","Dsim",0.654,20,42
"Atf6","α'β'-KC","Dmel",0.356,9,85
"Atf6","α'β'-KC","Dsec",0.414,9,85
"Atf6","α'β'-KC","Dsim",0.326,9,85
"da","α'β'-KC","Dmel",0.356,12,85
"da","α'β'-KC","Dsec",0.371,12,85
"da","α'β'-KC","Dsim",0.386,12,85
"dac","α'β'-KC","Dmel",0.466,19,85
"dac","α'β'-KC","Dsec",0.524,19,85
"dac","α'β'-KC","Dsim",0.499,19,85
"ey","α'β'-KC","Dmel",0.635,5,85
"ey","α'β'-KC","Dsec",0.676,5,85
"ey","α'β'-KC","Dsim",0.64,5,85
"Stat92E","αβ-KC_1","Dmel",0.402,11,82
"Stat92E","αβ-KC_1","Dsec",0.548,11,82
"Stat92E","αβ-KC_1","Dsim",0.472,11,82
"da","αβ-KC_1","Dmel",0.34,12,82
"da","αβ-KC_1","Dsec",0.348,12,82
"da","αβ-KC_1","Dsim",0.356,12,82
"dac","αβ-KC_1","Dmel",0.711,19,82
"dac","αβ-KC_1","Dsec",0.603,19,82
"dac","αβ-KC_1","Dsim",0.735,19,82
"ey","αβ-KC_1","Dmel",0.611,5,82
"ey","αβ-KC_1","Dsec",0.646,5,82
"ey","αβ-KC_1","Dsim",0.583,5,82
"Smox","αβ-KC_2","Dmel",0.423,5,97
"Smox","αβ-KC_2","Dsec",0.3,5,97
"Smox","αβ-KC_2","Dsim",0.358,5,97
"Stat92E","αβ-KC_2","Dmel",0.431,11,97
"Stat92E","αβ-KC_2","Dsec",0.593,11,97
"Stat92E","αβ-KC_2","Dsim",0.541,11,97
"da","αβ-KC_2","Dmel",0.377,12,97
"da","αβ-KC_2","Dsec",0.427,12,97
"da","αβ-KC_2","Dsim",0.349,12,97
"dac","αβ-KC_2","Dmel",0.769,19,97
"dac","αβ-KC_2","Dsec",0.66,19,97
"dac","αβ-KC_2","Dsim",0.826,19,97
"ey","αβ-KC_2","Dmel",0.631,5,97
"ey","αβ-KC_2","Dsec",0.707,5,97
"ey","αβ-KC_2","Dsim",0.655,5,97
"rn","αβ-KC_2","Dmel",0.992,17,97
"rn","αβ-KC_2","Dsec",0.92,17,97
"rn","αβ-KC_2","Dsim",0.964,17,97
"Atf6","γ-KC","Dmel",0.399,9,82
"Atf6","γ-KC","Dsec",0.443,9,82
"Atf6","γ-KC","Dsim",0.306,9,82
"Dif","γ-KC","Dmel",0.445,3,82
"Dif","γ-KC","Dsec",0.382,3,82
"Dif","γ-KC","Dsim",0.423,3,82
"FoxK","γ-KC","Dmel",0.311,4,82
"FoxK","γ-KC","Dsec",0.312,4,82
"FoxK","γ-KC","Dsim",0.334,4,82
"Smox","γ-KC","Dmel",0.403,5,82
"Smox","γ-KC","Dsec",0.334,5,82
"Smox","γ-KC","Dsim",0.321,5,82
"da","γ-KC","Dmel",0.391,12,82
"da","γ-KC","Dsec",0.409,12,82
"da","γ-KC","Dsim",0.392,12,82
"dac","γ-KC","Dmel",0.529,19,82
"dac","γ-KC","Dsec",0.523,19,82
"dac","γ-KC","Dsim",0.509,19,82
"ey","γ-KC","Dmel",0.597,5,82
"ey","γ-KC","Dsec",0.608,5,82
"ey","γ-KC","Dsim",0.581,5,82
"sr","γ-KC","Dmel",0.395,14,82
"sr","γ-KC","Dsec",0.344,14,82
"sr","γ-KC","Dsim",0.342,14,82
